"ORIG_RT","ORIG_AMT","ORIG_TRM","OLTV","OCLTV","NUM_BO","DTI","CSCORE_B","NUM_UNIT","LAST_RT","Loan.Age","Adj.Month.To.Mat","CSCORE_MN","loan_month","first_month","cluster"
4.5,11.8565151693603,12,70,70,2,22,801,1,4.5,0.0666666666666667,0,801,366,2,2
3.5,11.6699292137799,12,79,79,1,41,730,1,3.5,0.333333333333333,348,730,366,2,4
8,11.9183905730784,12,95,95,2,38,726,1,8,0.166666666666667,355,726,366,2,3
6.25,12.2548628096996,12,61,61,2,33,788,1,6.25,0.333333333333333,349,787,365,1,2
3,11.7675676833438,6,94,94,1,29,790,1,3,0.0666666666666667,178,790,184,2,1
6.375,10.8197782844103,6,15,15,2,26,803,1,6.375,0.0666666666666667,177,803,184,2,5
7.125,11.7752897294377,12,80,80,2,29,772,1,7.125,0.366666666666667,349,772,366,2,3
4.25,12.4760997827432,12,78,78,2,41,757,1,4.25,0.0666666666666667,358,757,366,2,2
3.625,12.1388638958367,8,33,54,2,22,792,1,3.625,0.2,234,783,245,2,5
4.625,12.829333698626,12,95,95,1,44,675,1,4.625,0.266666666666667,352,675,367,3,4
3.75,12.083905011556,12,80,80,2,36,716,1,3.75,0.133333333333333,355,716,366,2,2
3.5,11.9381932003746,6,66,66,2,39,796,1,3.5,0.366666666666667,167,796,184,2,1
4.875,11.4295438560312,12,80,80,1,41,734,1,4.875,0.233333333333333,351,734,366,2,4
4.5,12.6247829803884,12,61,61,2,38,797,1,4.5,0.3,0,789,366,2,2
4.375,11.4824662574855,12,90,90,1,43,773,1,4.375,0.0333333333333333,358,773,366,2,4
5.625,11.7199396343546,6,65,65,2,39,743,1,5.625,0.4,168,743,184,2,1
6.25,11.7675676833438,12,95,95,2,45,744,1,6.25,0.0666666666666667,357,744,366,2,3
7,11.5617156291397,12,78,78,2,28,647,1,7,0.2,349,647,366,2,3
5.5,11.9891596439666,6,19,19,2,15,747,1,5.5,0.0666666666666667,178,747,184,2,5
6.625,12.0895388292742,12,80,80,2,21,751,1,6.625,0.3,351,751,365,1,3
6.375,11.6082356447746,12,79,79,1,49,682,1,6.375,0.266666666666667,352,682,366,2,4
3.5,12.2307652581205,6,70,70,2,21,789,1,3.5,0.0666666666666667,178,772,184,2,1
3.875,12.5776362019627,12,62,62,2,26,791,1,3.875,0.3,351,777,366,2,2
6,11.6699292137799,12,80,80,1,48,783,1,6,0.1,356,783,366,2,4
3.375,10.9508065468167,4,25,25,2,24,825,1,3.375,0.1,117,820,123,2,5
4.75,11.1124478983731,6,26,26,2,32,741,1,4.75,0.233333333333333,173,741,184,2,5
3.7,12.9239124386805,12,80,80,1,30,759,1,3.7,0.366666666666667,349,759,366,2,2
5.25,11.1704351560235,12,70,70,1,38,654,1,5.25,0.266666666666667,352,654,366,2,4
6.125,12.4371843664936,6,80,80,1,46,749,1,6.125,0.266666666666667,172,749,184,2,4
6.125,11.3736633976367,12,66,66,2,35,694,1,6.125,0.333333333333333,350,614,366,2,3
3.25,12.9066918409288,6,65,71,1,39,767,1,3.25,0.0333333333333333,179,767,184,2,1
4.375,12.4292161968444,12,56,56,1,38,741,1,4.375,0.3,351,741,366,2,4
4.125,12.3104326608544,12,95,95,2,42,708,1,4.125,0,360,704,366,2,2
5,11.2384886192685,12,65,65,2,33,756,1,5,0.266666666666667,352,756,366,2,3
8.25,12.4411447677097,12,79,79,2,45,743,1,8.25,0.0666666666666667,358,743,367,3,3
4.25,12.4529327234617,12,95,95,2,30,775,1,4.25,0.1,357,775,366,2,2
6.625,12.5208833853702,6,69,69,2,25,693,1,6.625,0.166666666666667,175,693,184,2,1
4.875,13.3471056500822,6,35,35,1,34,795,1,4.875,0.3,170,795,184,2,5
6.25,12.5776362019627,12,75,75,2,47,716,1,6.25,0.366666666666667,349,716,366,2,2
4.875,12.9263484934784,12,71,71,1,18,804,1,4.875,0.2,346,804,366,2,2
5.375,11.6082356447746,6,45,45,2,39,701,1,5.375,0.0333333333333333,179,701,184,2,5
3.875,12.8131171270367,12,72,72,1,37,805,1,3.875,0.3,0,805,366,2,4
4.125,12.9141084385839,12,69,69,2,40,710,1,4.125,0,360,672,366,2,2
4.5,12.594730635322,12,90,90,2,30,792,1,4.5,0,360,772,366,2,2
3.625,11.5028751291167,12,44,44,1,44,723,1,3.625,0.133333333333333,355,723,366,2,5
5.75,11.8775685785581,12,45,45,2,18,670,1,5.75,0.266666666666667,352,670,366,2,5
4.375,11.3144745262464,6,26,26,2,28,790,2,4.375,0.1,177,732,184,2,5
4.625,12.5135573452781,12,74,74,1,48,761,1,4.625,0.366666666666667,343,761,366,2,4
3.875,12.0137007528827,12,71,71,1,47,806,1,3.875,0.2,354,806,366,2,4
4.125,12.8992198260901,12,32,32,2,24,773,1,4.125,0.0666666666666667,358,769,366,2,5
7.875,12.0725412529057,12,97,97,1,45,658,1,7.875,0.133333333333333,358,658,366,2,4
9,12.3458345879053,12,75,75,1,47,573,1,9,0.1,356,573,366,2,4
6.875,12.0895388292742,12,95,95,1,36,770,1,6.875,0.2,0,770,366,2,4
4,12.9066918409288,8,74,80,2,19,790,1,4,0.0333333333333333,239,790,245,2,2
6.75,11.9381932003746,6,44,44,2,27,790,1,6.75,0.233333333333333,169,789,184,2,5
6.75,12.170445467887,12,95,95,1,28,634,1,6.75,0.1,357,634,366,2,4
8.125,12.2922503417712,12,93,93,2,44,669,1,8.125,0.266666666666667,352,669,366,2,3
6.5,12.2548628096996,12,70,70,2,31,656,1,6.5,0.0333333333333333,359,656,366,2,3
7,12.614865543731,12,74,74,2,37,655,1,7,0.233333333333333,353,655,366,2,3
6,12.0782392740203,12,95,95,2,52,724,1,6,0.2,354,724,365,1,3
4.625,12.3238556811866,12,73,73,2,48,774,1,4.625,0.1,357,764,366,2,2
6.625,11.3963916487143,12,77,78,1,12,672,2,6.625,0.0333333333333333,359,672,366,2,4
6.5,10.9681982895286,12,80,80,2,14,714,1,6.5,0.0666666666666667,357,714,366,2,3
6.75,11.2772031314492,8,40,40,1,61,656,1,6.75,0.266666666666667,232,656,245,2,5
7.125,12.170445467887,8,75,75,1,15,710,1,7.125,0.166666666666667,235,710,244,2,4
5.25,11.6172854802945,12,80,80,2,29,685,1,5.25,0.266666666666667,351,685,366,2,3
6.5,12.5353763926728,12,80,85,2,43,735,1,6.5,0.166666666666667,354,674,366,2,3
7.25,11.2252433925184,12,50,50,1,48,698,1,7.25,0.133333333333333,355,698,366,2,5
4.5,11.8493977015914,12,66,76,1,26,813,1,4.5,0.3,351,813,366,2,4
3.5,12.3758154201173,12,79,79,1,45,794,1,3.5,0.1,0,794,366,2,4
4.25,11.0821425488778,12,53,53,1,29,707,1,4.25,0.333333333333333,344,707,366,2,5
3.5,12.3673407931263,12,70,70,2,27,753,1,3.5,0.0666666666666667,358,753,366,2,2
6,11.6082356447746,4,73,73,2,18,799,1,6,0,120,790,122,1,1
6.625,11.8913619006905,12,86,86,2,30,715,1,6.625,0.4,348,715,366,2,3
6.25,11.6172854802945,12,76,76,1,45,679,1,6.25,0.1,357,679,366,2,4
7.625,11.7597855429018,12,80,80,2,21,759,1,7.625,0.366666666666667,348,742,366,2,3
2.875,12.2258752728264,6,95,95,2,32,791,1,2.875,0.0333333333333333,178,791,184,2,1
4.375,10.8780471925343,6,80,80,1,43,660,1,4.375,0.2,0,660,184,2,1
5.625,10.4631033404715,6,30,30,1,42,606,1,5.625,0.1,177,606,184,2,5
5.75,11.9447078813958,4,53,53,2,15,787,1,5.75,0,120,787,123,2,1
4.375,11.7675676833438,4,44,44,2,11,717,1,4.375,0.166666666666667,114,710,123,2,5
3.58,11.6172854802945,6,72,72,1,13,808,1,3.58,0.0333333333333333,179,808,184,2,1
5.375,11.0974100210086,8,70,70,2,30,692,1,5.375,0.2,233,692,245,2,1
6.125,11.9049675527463,12,77,77,2,42,686,1,6.125,0.166666666666667,354,686,366,2,3
6.375,12.0137007528827,6,77,77,2,32,656,1,6.375,0.3,172,624,184,2,1
4,11.6784399034478,12,63,63,2,26,822,1,4,0.166666666666667,355,812,366,2,2
3.875,12.6048487654875,6,76,76,2,13,796,1,3.875,0.1,161,793,184,2,1
6.125,11.6699292137799,12,59,59,1,36,644,1,6.125,0.366666666666667,349,644,366,2,4
5.25,12.4684369099977,12,79,95,2,30,746,1,5.25,0.133333333333333,355,746,366,2,2
3.375,11.9381932003746,6,65,65,2,32,803,1,3.375,0.0666666666666667,178,794,184,2,1
4.25,12.8609986132699,11.6,80,80,2,42,774,1,4.25,0.0666666666666667,345,774,354,2,2
6.125,12.4450895460007,12,80,90,2,41,778,1,6.125,0.333333333333333,350,680,366,2,3
7.25,11.870599909242,12,95,95,2,45,794,1,7.25,0.1,348,783,366,2,3
4,13.0919041699196,12,58,58,2,27,700,1,4,0.266666666666667,0,700,366,2,2
3.625,12.7454857261481,12,66,66,1,19,798,1,3.625,0.266666666666667,352,798,366,2,2
3.99,12.1495022940418,12,53,53,2,36,700,1,3.99,0.266666666666667,340,700,366,2,2
8.25,12.3883942023241,12,37,37,2,14,763,1,8.25,0.2,0,763,366,2,5
8.25,11.5129254649702,12,55,55,2,38,788,1,8.25,0.0666666666666667,357,788,366,2,3
5,11.5991031612113,12,80,80,2,30,772,1,5,0.266666666666667,352,772,366,2,3
6.625,11.4616321705827,8,41,41,2,51,795,1,6.625,0.0666666666666667,238,784,244,2,5
4.5,12.3194013308372,12,80,80,1,35,802,1,4.5,0.0666666666666667,358,802,366,2,4
6.125,12.4912515877638,12,80,89,2,32,682,1,6.125,0.266666666666667,352,682,366,2,2
5.375,12.3238556811866,12,63,63,1,54,746,1,5.375,0.333333333333333,350,746,366,2,4
6,12.4049235042753,6,75,75,2,20,775,2,6,0.166666666666667,175,775,184,2,1
